,genes,hgnc_id
ENSG00000147443,DOK2,HGNC:2991
ENSG00000147454,SLC25A37,HGNC:29786
ENSG00000147457,CHMP7,HGNC:28439
ENSG00000147459,DOCK5,HGNC:23476
ENSG00000147465,STAR,HGNC:11359
ENSG00000147471,PLPBP,HGNC:9457
ENSG00000147475,ERLIN2,HGNC:1356
ENSG00000147481,SNTG1,HGNC:13740
ENSG00000147485,PXDNL,HGNC:26359
ENSG00000147488,ST18,HGNC:18695
ENSG00000147509,RGS20,HGNC:14600
ENSG00000147526,TACC1,HGNC:11522
ENSG00000147533,GOLGA7,HGNC:24876
ENSG00000147535,PLPP5,HGNC:25026
ENSG00000147536,GINS4,HGNC:28226
ENSG00000147548,NSD3,HGNC:12767
ENSG00000147570,DNAJC5B,HGNC:24138
ENSG00000147571,CRH,HGNC:2355
ENSG00000147573,TRIM55,HGNC:14215
ENSG00000147576,ADHFE1,HGNC:16354
ENSG00000147586,MRPS28,HGNC:14513
ENSG00000147588,PMP2,HGNC:9117
ENSG00000147592,LACTB2,HGNC:18512
ENSG00000147596,PRDM14,HGNC:14001
ENSG00000147601,TERF1,HGNC:11728
ENSG00000147604,RPL7,HGNC:10363
ENSG00000147606,SLC26A7,HGNC:14467
ENSG00000147613,PSKH2,HGNC:18997
ENSG00000147614,ATP6V0D2,HGNC:18266
ENSG00000147642,SYBU,HGNC:26011
ENSG00000147647,DPYS,HGNC:3013
ENSG00000147649,MTDH,HGNC:29608
ENSG00000147650,LRP12,HGNC:31708
ENSG00000147654,EBAG9,HGNC:3123
ENSG00000147655,RSPO2,HGNC:28583
ENSG00000147669,POLR2K,HGNC:9198
ENSG00000147676,MAL2,HGNC:13634
ENSG00000147677,EIF3H,HGNC:3273
ENSG00000147679,UTP23,HGNC:28224
ENSG00000147684,NDUFB9,HGNC:7704
ENSG00000147687,TATDN1,HGNC:24220
ENSG00000147689,FAM83A,HGNC:28210
ENSG00000147697,GSDMC,HGNC:7151
ENSG00000147724,FAM135B,HGNC:28029
ENSG00000147789,ZNF7,HGNC:13139
ENSG00000147799,ARHGAP39,HGNC:29351
ENSG00000147804,SLC39A4,HGNC:17129
ENSG00000147813,NAPRT,HGNC:30450
ENSG00000147852,VLDLR,HGNC:12698
ENSG00000147853,AK3,HGNC:17376
ENSG00000147854,UHRF2,HGNC:12557
ENSG00000147862,NFIB,HGNC:7785
ENSG00000147869,CER1,HGNC:1862
ENSG00000147872,PLIN2,HGNC:248
ENSG00000147873,IFNA5,HGNC:5426
ENSG00000147874,HAUS6,HGNC:25948
ENSG00000147883,CDKN2B,HGNC:1788
ENSG00000147885,IFNA16,HGNC:5421
ENSG00000147889,CDKN2A,HGNC:1787
ENSG00000147894,C9orf72,HGNC:28337
ENSG00000147896,IFNK,HGNC:21714
ENSG00000147905,ZCCHC7,HGNC:26209
ENSG00000147912,FBXO10,HGNC:13589
ENSG00000147955,SIGMAR1,HGNC:8157
ENSG00000147996,CBWD5,HGNC:24584
ENSG00000148019,CEP78,HGNC:25740
ENSG00000148053,NTRK2,HGNC:8032
ENSG00000148057,IDNK,HGNC:31367
ENSG00000148082,SHC3,HGNC:18181
ENSG00000148090,AUH,HGNC:890
ENSG00000148110,MFSD14B,HGNC:23376
ENSG00000148120,AOPEP,HGNC:1361
ENSG00000148123,PLPPR1,HGNC:25993
ENSG00000148136,OR13C4,HGNC:14722
ENSG00000148143,ZNF462,HGNC:21684
ENSG00000148153,INIP,HGNC:24994
ENSG00000148154,UGCG,HGNC:12524
ENSG00000148156,ACTL7B,HGNC:162
ENSG00000148158,SNX30,HGNC:23685
ENSG00000148175,STOM,HGNC:3383
ENSG00000148180,GSN,HGNC:4620
ENSG00000148187,MRRF,HGNC:7234
ENSG00000148200,NR6A1,HGNC:7985
ENSG00000148204,CRB2,HGNC:18688
ENSG00000148215,OR5C1,HGNC:8331
ENSG00000148218,ALAD,HGNC:395
ENSG00000148219,ASTN2,HGNC:17021
ENSG00000148225,WDR31,HGNC:21421
ENSG00000148229,POLE3,HGNC:13546
ENSG00000148248,SURF4,HGNC:11476
ENSG00000148288,GBGT1,HGNC:20460
ENSG00000148290,SURF1,HGNC:11474
ENSG00000148291,SURF2,HGNC:11475
ENSG00000148296,SURF6,HGNC:11478
ENSG00000148297,MED22,HGNC:11477
ENSG00000148300,REXO4,HGNC:12820
ENSG00000148303,RPL7A,HGNC:10364
ENSG00000148308,GTF3C5,HGNC:4668
ENSG00000148331,ASB6,HGNC:17181
ENSG00000148334,PTGES2,HGNC:17822
ENSG00000148335,NTMT1,HGNC:23373
ENSG00000148337,CIZ1,HGNC:16744
ENSG00000148339,SLC25A25,HGNC:20663
ENSG00000148341,SH3GLB2,HGNC:10834
ENSG00000148343,MIGA2,HGNC:23621
ENSG00000148344,PTGES,HGNC:9599
ENSG00000148346,LCN2,HGNC:6526
ENSG00000148356,LRSAM1,HGNC:25135
ENSG00000148357,HMCN2,HGNC:21293
ENSG00000148358,GPR107,HGNC:17830
ENSG00000148362,PAXX,HGNC:27849
ENSG00000148377,IDI2,HGNC:23487
ENSG00000148384,INPP5E,HGNC:21474
ENSG00000148386,LCN9,HGNC:17442
ENSG00000148396,SEC16A,HGNC:29006
ENSG00000148399,DPH7,HGNC:25199
ENSG00000148400,NOTCH1,HGNC:7881
ENSG00000148408,CACNA1B,HGNC:1389
ENSG00000148411,NACC2,HGNC:23846
ENSG00000148426,PROSER2,HGNC:23728
ENSG00000148429,USP6NL,HGNC:16858
ENSG00000148444,COMMD3,HGNC:23332
ENSG00000148450,MSRB2,HGNC:17061
ENSG00000148459,PDSS1,HGNC:17759
ENSG00000148468,FAM171A1,HGNC:23522
ENSG00000148481,MINDY3,HGNC:23578
ENSG00000148482,SLC39A12,HGNC:20860
ENSG00000148483,TMEM236,HGNC:23473
ENSG00000148484,RSU1,HGNC:10464
ENSG00000148488,ST8SIA6,HGNC:23317
ENSG00000148498,PARD3,HGNC:16051
ENSG00000148513,ANKRD30A,HGNC:17234
ENSG00000148516,ZEB1,HGNC:11642
ENSG00000148541,FAM13C,HGNC:19371
ENSG00000148572,NRBF2,HGNC:19692
ENSG00000148584,A1CF,HGNC:24086
ENSG00000148600,CDHR1,HGNC:14550
ENSG00000148602,LRIT1,HGNC:23404
ENSG00000148604,RGR,HGNC:9990
ENSG00000148606,POLR3A,HGNC:30074
ENSG00000148634,HERC4,HGNC:24521
ENSG00000148655,LRMDA,HGNC:23405
ENSG00000148660,CAMK2G,HGNC:1463
ENSG00000148671,ADIRF,HGNC:24043
ENSG00000148672,GLUD1,HGNC:4335
ENSG00000148677,ANKRD1,HGNC:15819
ENSG00000148680,HTR7,HGNC:5302
ENSG00000148688,RPP30,HGNC:17688
ENSG00000148690,FRA10AC1,HGNC:1162
ENSG00000148700,ADD3,HGNC:245
ENSG00000148702,HABP2,HGNC:4798
ENSG00000148704,VAX1,HGNC:12660
ENSG00000148719,DNAJB12,HGNC:14891
ENSG00000148730,EIF4EBP2,HGNC:3289
ENSG00000148734,NPFFR1,HGNC:17425
ENSG00000148735,PLEKHS1,HGNC:26285
ENSG00000148737,TCF7L2,HGNC:11641
ENSG00000148773,MKI67,HGNC:7107
ENSG00000148795,CYP17A1,HGNC:2593
ENSG00000148798,INA,HGNC:6057
ENSG00000148803,FUOM,HGNC:24733
ENSG00000148814,LRRC27,HGNC:29346
ENSG00000148824,MTG1,HGNC:32159
ENSG00000148826,NKX6-2,HGNC:19321
ENSG00000148832,PAOX,HGNC:20837
ENSG00000148834,GSTO1,HGNC:13312
ENSG00000148835,TAF5,HGNC:11539
ENSG00000148840,PPRC1,HGNC:30025
ENSG00000148841,ITPRIP,HGNC:29370
ENSG00000148842,CNNM2,HGNC:103
ENSG00000148843,PDCD11,HGNC:13408
ENSG00000148848,ADAM12,HGNC:190
ENSG00000148908,RGS10,HGNC:9992
ENSG00000148925,BTBD10,HGNC:21445
ENSG00000148926,ADM,HGNC:259
ENSG00000148935,GAS2,HGNC:4167
ENSG00000148942,SLC5A12,HGNC:28750
ENSG00000148943,LIN7C,HGNC:17789
ENSG00000148948,LRRC4C,HGNC:29317
ENSG00000148950,IMMP1L,HGNC:26317
ENSG00000148965,SAA4,HGNC:10516
ENSG00000148985,PGAP2,HGNC:17893
ENSG00000149016,TUT1,HGNC:26184
ENSG00000149021,SCGB1A1,HGNC:12523
ENSG00000149043,SYT8,HGNC:19264
ENSG00000149050,ZNF214,HGNC:13006
ENSG00000149054,ZNF215,HGNC:13007
ENSG00000149084,HSD17B12,HGNC:18646
ENSG00000149089,APIP,HGNC:17581
ENSG00000149090,PAMR1,HGNC:24554
ENSG00000149091,DGKZ,HGNC:2857
ENSG00000149100,EIF3M,HGNC:24460
ENSG00000149115,TNKS1BP1,HGNC:19081
ENSG00000149124,GLYAT,HGNC:13734
ENSG00000149131,SERPING1,HGNC:1228
ENSG00000149133,OR5F1,HGNC:8343
ENSG00000149136,SSRP1,HGNC:11327
ENSG00000149150,SLC43A1,HGNC:9225
ENSG00000149177,PTPRJ,HGNC:9673
ENSG00000149179,C11orf49,HGNC:28720
ENSG00000149182,ARFGAP2,HGNC:13504
ENSG00000149187,CELF1,HGNC:2549
ENSG00000149196,HIKESHI,HGNC:26938
ENSG00000149201,CCDC81,HGNC:26281
ENSG00000149212,SESN3,HGNC:23060
ENSG00000149218,ENDOD1,HGNC:29129
ENSG00000149231,CCDC82,HGNC:26282
ENSG00000149243,KLHL35,HGNC:26597
ENSG00000149256,TENM4,HGNC:29945
ENSG00000149257,SERPINH1,HGNC:1546
ENSG00000149260,CAPN5,HGNC:1482
ENSG00000149262,INTS4,HGNC:25048
ENSG00000149269,PAK1,HGNC:8590
ENSG00000149273,RPS3,HGNC:10420
ENSG00000149289,ZC3H12C,HGNC:29362
ENSG00000149292,TTC12,HGNC:23700
ENSG00000149294,NCAM1,HGNC:7656
ENSG00000149295,DRD2,HGNC:3023
ENSG00000149300,C11orf52,HGNC:30531
ENSG00000149305,HTR3B,HGNC:5298
ENSG00000149308,NPAT,HGNC:7896
ENSG00000149311,ATM,HGNC:795
ENSG00000149313,AASDHPPT,HGNC:14235
ENSG00000149328,GLB1L2,HGNC:25129
ENSG00000149346,SLX4IP,HGNC:16225
ENSG00000149357,LAMTOR1,HGNC:26068
ENSG00000149380,P4HA3,HGNC:30135
ENSG00000149403,GRIK4,HGNC:4582
ENSG00000149418,ST14,HGNC:11344
ENSG00000149428,HYOU1,HGNC:16931
ENSG00000149435,GGTLC1,HGNC:16437
ENSG00000149451,ADAM33,HGNC:15478
ENSG00000149452,SLC22A8,HGNC:10972
ENSG00000149474,KAT14,HGNC:15904
ENSG00000149476,TKFC,HGNC:24552
ENSG00000149480,MTA2,HGNC:7411
ENSG00000149483,TMEM138,HGNC:26944
ENSG00000149485,FADS1,HGNC:3574
ENSG00000149488,TMC2,HGNC:16527
ENSG00000149489,ROM1,HGNC:10254
ENSG00000149499,EML3,HGNC:26666
ENSG00000149503,INCENP,HGNC:6058
ENSG00000149506,ZP1,HGNC:13187
ENSG00000149507,OOSP2,HGNC:26699
ENSG00000149516,MS4A3,HGNC:7317
ENSG00000149527,PLCH2,HGNC:29037
ENSG00000149532,CPSF7,HGNC:30098
ENSG00000149534,MS4A2,HGNC:7316
ENSG00000149541,B3GAT3,HGNC:923
ENSG00000149547,EI24,HGNC:13276
ENSG00000149548,CCDC15,HGNC:25798
ENSG00000149554,CHEK1,HGNC:1925
ENSG00000149557,FEZ1,HGNC:3659
ENSG00000149564,ESAM,HGNC:17474
ENSG00000149571,KIRREL3,HGNC:23204
ENSG00000149573,MPZL2,HGNC:3496
ENSG00000149575,SCN2B,HGNC:10589
ENSG00000149577,SIDT2,HGNC:24272
ENSG00000149582,TMEM25,HGNC:25890
ENSG00000149591,TAGLN,HGNC:11553
ENSG00000149596,JPH2,HGNC:14202
ENSG00000149599,DUSP15,HGNC:16236
ENSG00000149600,COMMD7,HGNC:16223
ENSG00000149609,C20orf144,HGNC:16137
ENSG00000149633,KIAA1755,HGNC:29372
ENSG00000149634,SPATA25,HGNC:16158
ENSG00000149635,OCSTAMP,HGNC:16116
ENSG00000149636,DSN1,HGNC:16165
ENSG00000149639,SOGA1,HGNC:16111
ENSG00000149646,CNBD2,HGNC:16145
ENSG00000149651,SPINT4,HGNC:16130
ENSG00000149654,CDH22,HGNC:13251
ENSG00000149657,LSM14B,HGNC:15887
ENSG00000149658,YTHDF1,HGNC:15867
ENSG00000149679,CABLES2,HGNC:16143
ENSG00000149716,LTO1,HGNC:17589
ENSG00000149735,GPHA2,HGNC:18054
ENSG00000149742,SLC22A9,HGNC:16261
ENSG00000149743,TRPT1,HGNC:20316
ENSG00000149761,NUDT22,HGNC:28189
ENSG00000149781,FERMT3,HGNC:23151
ENSG00000149782,PLCB3,HGNC:9056
ENSG00000149792,MRPL49,HGNC:1176
ENSG00000149798,CDC42EP2,HGNC:16263
ENSG00000149806,FAU,HGNC:3597
ENSG00000149809,TM7SF2,HGNC:11863
ENSG00000149823,VPS51,HGNC:1172
ENSG00000149922,TBX6,HGNC:11605
ENSG00000149923,PPP4C,HGNC:9319
ENSG00000149925,ALDOA,HGNC:414
ENSG00000149926,TLCD3B,HGNC:25295
ENSG00000149927,DOC2A,HGNC:2985
ENSG00000149929,HIRIP3,HGNC:4917
ENSG00000149930,TAOK2,HGNC:16835
ENSG00000149932,TMEM219,HGNC:25201
ENSG00000149948,HMGA2,HGNC:5009
ENSG00000149968,MMP3,HGNC:7173
ENSG00000149970,CNKSR2,HGNC:19701
ENSG00000149972,CNTN5,HGNC:2175
ENSG00000150045,KLRF1,HGNC:13342
ENSG00000150048,CLEC1A,HGNC:24355
ENSG00000150051,MKX,HGNC:23729
ENSG00000150054,MPP7,HGNC:26542
ENSG00000150093,ITGB1,HGNC:6153
ENSG00000150201,FXYD4,HGNC:4028
ENSG00000150244,TRIM48,HGNC:19021
ENSG00000150261,OR8K1,HGNC:14831
ENSG00000150269,OR5M9,HGNC:15294
ENSG00000150275,PCDH15,HGNC:14674
ENSG00000150281,CTF1,HGNC:2499
ENSG00000150316,CWC15,HGNC:26939
ENSG00000150337,FCGR1A,HGNC:3613
ENSG00000150347,ARID5B,HGNC:17362
ENSG00000150361,KLHL1,HGNC:6352
ENSG00000150394,CDH8,HGNC:1767
ENSG00000150401,DCUN1D2,HGNC:20328
ENSG00000150403,TMCO3,HGNC:20329
ENSG00000150433,TMEM218,HGNC:27344
ENSG00000150455,TIRAP,HGNC:17192
ENSG00000150456,EEF1AKMT1,HGNC:27351
ENSG00000150457,LATS2,HGNC:6515
ENSG00000150459,SAP18,HGNC:10530
ENSG00000150471,ADGRL3,HGNC:20974
ENSG00000150477,KIAA1328,HGNC:29248
ENSG00000150510,FAM124A,HGNC:26413
ENSG00000150527,MIA2,HGNC:18432
ENSG00000150540,HNMT,HGNC:5028
ENSG00000150551,LYPD1,HGNC:28431
ENSG00000150556,LYPD6B,HGNC:27018
ENSG00000150593,PDCD4,HGNC:8763
ENSG00000150594,ADRA2A,HGNC:281
ENSG00000150625,GPM6A,HGNC:4460
ENSG00000150627,WDR17,HGNC:16661
ENSG00000150628,SPATA4,HGNC:17333
ENSG00000150630,VEGFC,HGNC:12682
ENSG00000150636,CCDC102B,HGNC:26295
ENSG00000150637,CD226,HGNC:16961
ENSG00000150656,CNDP1,HGNC:20675
ENSG00000150667,FSIP1,HGNC:21674
ENSG00000150672,DLG2,HGNC:2901
ENSG00000150676,CCDC83,HGNC:28535
ENSG00000150681,RGS18,HGNC:14261
ENSG00000150687,PRSS23,HGNC:14370
ENSG00000150712,MTMR12,HGNC:18191
ENSG00000150722,PPP1R1C,HGNC:14940
ENSG00000150750,C11orf53,HGNC:30527
ENSG00000150753,CCT5,HGNC:1618
ENSG00000150756,ATPSCKMT,HGNC:27029
ENSG00000150760,DOCK1,HGNC:2987
ENSG00000150764,DIXDC1,HGNC:23695
ENSG00000150768,DLAT,HGNC:2896
ENSG00000150773,PIH1D2,HGNC:25210
ENSG00000150776,NKAPD1,HGNC:25569
ENSG00000150779,TIMM8B,HGNC:11818
ENSG00000150782,IL18,HGNC:5986
ENSG00000150783,TEX12,HGNC:11734
ENSG00000150787,PTS,HGNC:9689
ENSG00000150867,PIP4K2A,HGNC:8997
ENSG00000150873,C2orf50,HGNC:26324
ENSG00000150893,FREM2,HGNC:25396
ENSG00000150907,FOXO1,HGNC:3819
ENSG00000150938,CRIM1,HGNC:2359
ENSG00000150961,SEC24D,HGNC:10706
ENSG00000150967,ABCB9,HGNC:50
ENSG00000150977,RILPL2,HGNC:28787
ENSG00000150990,DHX37,HGNC:17210
ENSG00000150991,UBC,HGNC:12468
ENSG00000150995,ITPR1,HGNC:6180
ENSG00000151005,TKTL2,HGNC:25313
ENSG00000151006,PRSS53,HGNC:34407
ENSG00000151012,SLC7A11,HGNC:11059
ENSG00000151014,NOCT,HGNC:14254
ENSG00000151023,ENKUR,HGNC:28388
ENSG00000151025,GPR158,HGNC:23689
ENSG00000151033,LYZL2,HGNC:29613
ENSG00000151062,CACNA2D4,HGNC:20202
ENSG00000151065,DCP1B,HGNC:24451
ENSG00000151067,CACNA1C,HGNC:1390
ENSG00000151079,KCNA6,HGNC:6225
ENSG00000151090,THRB,HGNC:11799
ENSG00000151092,NGLY1,HGNC:17646
ENSG00000151093,OXSM,HGNC:26063
ENSG00000151116,UEVLD,HGNC:30866
ENSG00000151117,TMEM86A,HGNC:26890
ENSG00000151131,C12orf45,HGNC:28628
ENSG00000151135,TMEM263,HGNC:28281
ENSG00000151136,BTBD11,HGNC:23844
ENSG00000151148,UBE3B,HGNC:13478
ENSG00000151150,ANK3,HGNC:494
ENSG00000151151,IPMK,HGNC:20739
ENSG00000151164,RAD9B,HGNC:21700
ENSG00000151176,PLBD2,HGNC:27283
ENSG00000151208,DLG5,HGNC:2904
ENSG00000151224,MAT1A,HGNC:6903
ENSG00000151229,SLC2A13,HGNC:15956
ENSG00000151233,GXYLT1,HGNC:27482
ENSG00000151239,TWF1,HGNC:9620
ENSG00000151240,DIP2C,HGNC:29150
ENSG00000151247,EIF4E,HGNC:3287
ENSG00000151276,MAGI1,HGNC:946
ENSG00000151287,TEX30,HGNC:25188
ENSG00000151292,CSNK1G3,HGNC:2456
ENSG00000151304,SRFBP1,HGNC:26333
ENSG00000151320,AKAP6,HGNC:376
ENSG00000151322,NPAS3,HGNC:19311
ENSG00000151327,FAM177A1,HGNC:19829
ENSG00000151332,MBIP,HGNC:20427
ENSG00000151338,MIPOL1,HGNC:21460
ENSG00000151348,EXT2,HGNC:3513
ENSG00000151353,TMEM18,HGNC:25257
ENSG00000151360,ALLC,HGNC:17377
ENSG00000151364,KCTD14,HGNC:23295
ENSG00000151365,THRSP,HGNC:11800
ENSG00000151366,NDUFC2,HGNC:7706
ENSG00000151376,ME3,HGNC:6985
ENSG00000151379,MSGN1,HGNC:14907
ENSG00000151388,ADAMTS12,HGNC:14605
ENSG00000151413,NUBPL,HGNC:20278
ENSG00000151414,NEK7,HGNC:13386
ENSG00000151418,ATP6V1G3,HGNC:18265
ENSG00000151422,FER,HGNC:3655
ENSG00000151445,VIPAS39,HGNC:20347
ENSG00000151458,ANKRD50,HGNC:29223
ENSG00000151461,UPF2,HGNC:17854
ENSG00000151465,CDC123,HGNC:16827
ENSG00000151466,SCLT1,HGNC:26406
ENSG00000151468,CCDC3,HGNC:23813
ENSG00000151470,C4orf33,HGNC:27025
ENSG00000151474,FRMD4A,HGNC:25491
ENSG00000151475,SLC25A31,HGNC:25319
ENSG00000151490,PTPRO,HGNC:9678
ENSG00000151491,EPS8,HGNC:3420
ENSG00000151498,ACAD8,HGNC:87
ENSG00000151500,THYN1,HGNC:29560
ENSG00000151502,VPS26B,HGNC:28119
ENSG00000151503,NCAPD3,HGNC:28952
ENSG00000151532,VTI1A,HGNC:17792
ENSG00000151552,QDPR,HGNC:9752
ENSG00000151553,FAM160B1,HGNC:29320
ENSG00000151572,ANO4,HGNC:23837
ENSG00000151575,TEX9,HGNC:29585
ENSG00000151576,QTRT2,HGNC:25771
ENSG00000151577,DRD3,HGNC:3024
ENSG00000151611,MMAA,HGNC:18871
ENSG00000151612,ZNF827,HGNC:27193
ENSG00000151615,POU4F2,HGNC:9219
ENSG00000151617,EDNRA,HGNC:3179
ENSG00000151623,NR3C2,HGNC:7979
ENSG00000151632,AKR1C2,HGNC:385
ENSG00000151640,DPYSL4,HGNC:3016
ENSG00000151650,VENTX,HGNC:13639
ENSG00000151651,ADAM8,HGNC:215
ENSG00000151655,ITIH2,HGNC:6167
ENSG00000151657,KIN,HGNC:6327
ENSG00000151665,PIGF,HGNC:8962
ENSG00000151687,ANKAR,HGNC:26350
ENSG00000151689,INPP1,HGNC:6071
ENSG00000151690,MFSD6,HGNC:24711
ENSG00000151692,RNF144A,HGNC:20457
ENSG00000151693,ASAP2,HGNC:2721
ENSG00000151694,ADAM17,HGNC:195
ENSG00000151702,FLI1,HGNC:3749
ENSG00000151704,KCNJ1,HGNC:6255
ENSG00000151715,TMEM45B,HGNC:25194
ENSG00000151718,WWC2,HGNC:24148
ENSG00000151725,CENPU,HGNC:21348
ENSG00000151726,ACSL1,HGNC:3569
ENSG00000151729,SLC25A4,HGNC:10990
ENSG00000151743,AMN1,HGNC:27281
ENSG00000151746,BICD1,HGNC:1049
ENSG00000151748,SAV1,HGNC:17795
ENSG00000151773,CCDC122,HGNC:26478
ENSG00000151778,SERP2,HGNC:20607
ENSG00000151779,NBAS,HGNC:15625
ENSG00000151789,ZNF385D,HGNC:26191
ENSG00000151790,TDO2,HGNC:11708
ENSG00000151806,GUF1,HGNC:25799
ENSG00000151812,SLC35F4,HGNC:19845
ENSG00000151834,GABRA2,HGNC:4076
ENSG00000151835,SACS,HGNC:10519
ENSG00000151838,CCDC175,HGNC:19847
ENSG00000151846,PABPC3,HGNC:8556
ENSG00000151849,CENPJ,HGNC:17272
ENSG00000151876,FBXO4,HGNC:13583
ENSG00000151881,TMEM267,HGNC:26139
ENSG00000151882,CCL28,HGNC:17700
ENSG00000151883,PARP8,HGNC:26124
ENSG00000151892,GFRA1,HGNC:4243
ENSG00000151893,CACUL1,HGNC:23727
ENSG00000151914,DST,HGNC:1090
ENSG00000151917,BEND6,HGNC:20871
ENSG00000151923,TIAL1,HGNC:11804
ENSG00000151929,BAG3,HGNC:939
ENSG00000151948,GLT1D1,HGNC:26483
ENSG00000151952,TMEM132D,HGNC:29411
ENSG00000151962,RBM46,HGNC:28401
ENSG00000151967,SCHIP1,HGNC:15678
ENSG00000152034,MCHR2,HGNC:20867
ENSG00000152049,KCNE4,HGNC:6244
ENSG00000152056,AP1S3,HGNC:18971
ENSG00000152061,RABGAP1L,HGNC:24663
ENSG00000152076,CCDC74B,HGNC:25267
ENSG00000152078,TLCD4,HGNC:26477
ENSG00000152082,MZT2B,HGNC:25886
ENSG00000152086,TUBA3E,HGNC:20765
ENSG00000152092,ASTN1,HGNC:773
ENSG00000152093,CFC1B,HGNC:33983
ENSG00000152102,FAM168B,HGNC:27016
ENSG00000152104,PTPN14,HGNC:9647
ENSG00000152127,MGAT5,HGNC:7049
ENSG00000152128,TMEM163,HGNC:25380
ENSG00000152133,GPATCH11,HGNC:26768
ENSG00000152137,HSPB8,HGNC:30171
ENSG00000152147,GEMIN6,HGNC:20044
ENSG00000152154,TMEM178A,HGNC:28517
ENSG00000152192,POU4F1,HGNC:9218
ENSG00000152193,OBI1,HGNC:20308
ENSG00000152207,CYSLTR2,HGNC:18274
ENSG00000152208,GRID2,HGNC:4576
ENSG00000152213,ARL11,HGNC:24046
ENSG00000152214,RIT2,HGNC:10017
ENSG00000152217,SETBP1,HGNC:15573
ENSG00000152219,ARL14EP,HGNC:26798
ENSG00000152223,EPG5,HGNC:29331
ENSG00000152229,PSTPIP2,HGNC:9581
ENSG00000152234,ATP5F1A,HGNC:823
ENSG00000152240,HAUS1,HGNC:25174
ENSG00000152242,C18orf25,HGNC:28172
ENSG00000152253,SPC25,HGNC:24031
ENSG00000152254,G6PC2,HGNC:28906
ENSG00000152256,PDK1,HGNC:8809
ENSG00000152266,PTH,HGNC:9606
ENSG00000152270,PDE3B,HGNC:8779
ENSG00000152284,TCF7L1,HGNC:11640
ENSG00000152291,TGOLN2,HGNC:15450
ENSG00000152292,SH2D6,HGNC:30439
ENSG00000152315,KCNK13,HGNC:6275
ENSG00000152332,UHMK1,HGNC:19683
ENSG00000152348,ATG10,HGNC:20315
ENSG00000152359,POC5,HGNC:26658
ENSG00000152377,SPOCK1,HGNC:11251
ENSG00000152380,FAM151B,HGNC:33716
ENSG00000152382,TADA1,HGNC:30631
ENSG00000152402,GUCY1A2,HGNC:4684
ENSG00000152404,CWF19L2,HGNC:26508
ENSG00000152409,JMY,HGNC:28916
ENSG00000152413,HOMER1,HGNC:17512
ENSG00000152422,XRCC4,HGNC:12831
ENSG00000152430,BOLL,HGNC:14273
ENSG00000152433,ZNF547,HGNC:26432
ENSG00000152439,ZNF773,HGNC:30487
ENSG00000152443,ZNF776,HGNC:26765
ENSG00000152454,ZNF256,HGNC:13049
ENSG00000152455,SUV39H2,HGNC:17287
ENSG00000152457,DCLRE1C,HGNC:17642
ENSG00000152463,OLAH,HGNC:25625
ENSG00000152464,RPP38,HGNC:30329
ENSG00000152465,NMT2,HGNC:7858
ENSG00000152467,ZSCAN1,HGNC:23712
ENSG00000152475,ZNF837,HGNC:25164
ENSG00000152484,USP12,HGNC:20485
ENSG00000152492,CCDC50,HGNC:18111
ENSG00000152495,CAMK4,HGNC:1464
ENSG00000152503,TRIM36,HGNC:16280
ENSG00000152518,ZFP36L2,HGNC:1108
ENSG00000152520,PAN3,HGNC:29991
ENSG00000152527,PLEKHH2,HGNC:30506
ENSG00000152556,PFKM,HGNC:8877
ENSG00000152558,TMEM123,HGNC:30138
ENSG00000152578,GRIA4,HGNC:4574
ENSG00000152580,IGSF10,HGNC:26384
ENSG00000152582,SPEF2,HGNC:26293
ENSG00000152583,SPARCL1,HGNC:11220
ENSG00000152591,DSPP,HGNC:3054
ENSG00000152592,DMP1,HGNC:2932
ENSG00000152595,MEPE,HGNC:13361
ENSG00000152601,MBNL1,HGNC:6923
ENSG00000152611,CAPSL,HGNC:28375
ENSG00000152620,NADK2,HGNC:26404
ENSG00000152642,GPD1L,HGNC:28956
ENSG00000152661,GJA1,HGNC:4274
ENSG00000152669,CCNO,HGNC:18576
ENSG00000152670,DDX4,HGNC:18700
ENSG00000152672,CLEC4F,HGNC:25357
ENSG00000152683,SLC30A6,HGNC:19305
ENSG00000152684,PELO,HGNC:8829
ENSG00000152689,RASGRP3,HGNC:14545
ENSG00000152700,SAR1B,HGNC:10535
ENSG00000152705,CATSPER3,HGNC:20819
ENSG00000152749,GPR180,HGNC:28899
ENSG00000152760,TCTEX1D1,HGNC:26882
ENSG00000152763,DNAI4,HGNC:26252
ENSG00000152766,ANKRD22,HGNC:28321
ENSG00000152767,FARP1,HGNC:3591
ENSG00000152778,IFIT5,HGNC:13328
ENSG00000152779,SLC16A12,HGNC:23094
ENSG00000152782,PANK1,HGNC:8598
ENSG00000152784,PRDM8,HGNC:13993
ENSG00000152785,BMP3,HGNC:1070
ENSG00000152795,HNRNPDL,HGNC:5037
ENSG00000152804,HHEX,HGNC:4901
ENSG00000152818,UTRN,HGNC:12635
ENSG00000152822,GRM1,HGNC:4593
ENSG00000152894,PTPRK,HGNC:9674
ENSG00000152904,GGPS1,HGNC:4249
ENSG00000152910,CNTNAP4,HGNC:18747
ENSG00000152926,ZNF117,HGNC:12897
ENSG00000152932,RAB3C,HGNC:30269
ENSG00000152936,LMNTD1,HGNC:26683
ENSG00000152939,MARVELD2,HGNC:26401
ENSG00000152942,RAD17,HGNC:9807
